filename,label
RIMG2146_owjq1a5m.yro.jpg,nodefect
RIMG2140_czzw5sgn.dij.jpg,nodefect
RIMG2145_3a2gz5sn.ecn.jpg,nodefect
RIMG2156_qhpe5zss.plu.jpg,nodefect
RIMG2167_febdodcm.pto.jpg,nodefect
RIMG2135_zbeszpuo.gic.jpg,nodefect
RIMG2157_1czzrsad.qrk.jpg,nodefect
RIMG2146_r1uxnn3v.p02.jpg,nodefect
RIMG2156_5cpnl3fu.gja.jpg,nodefect
RIMG2152_aazedool.fcm.jpg,nodefect
RIMG2166_3xhwobnj.qu1.jpg,nodefect
RIMG2133_2kdjn1zt.2xg.jpg,nodefect
RIMG2155_a4ioqu4g.il5.jpg,nodefect
RIMG2149_qfw1ljsh.u5y.jpg,nodefect
RIMG2166_xduh52nc.kh3.jpg,nodefect
RIMG2155_o43mpqqd.cyp.jpg,nodefect
RIMG2145_zdwtzk3t.hfx.jpg,nodefect
RIMG2147_4g5apgwh.343.jpg,nodefect
RIMG2154_4xs5g2gj.ujs.jpg,nodefect
RIMG2156_vmolueuq.nej.jpg,nodefect
RIMG2133_xknnr1x4.tld.jpg,nodefect
RIMG2153_skkbzh3y.tvu.jpg,nodefect
RIMG2146_r2fyu0ri.ifa.jpg,nodefect
RIMG2148_0vrmqtdz.01y.jpg,nodefect
RIMG2137_1aawmw3x.zmu.jpg,nodefect
RIMG2148_jiar3txm.mfx.jpg,nodefect
RIMG2140_r0m1q2i1.pzf.jpg,nodefect
RIMG2157_krjqjaat.44e.jpg,nodefect
RIMG2167_u0vqkm0p.o3o.jpg,nodefect
RIMG2154_ulnoajbe.uxz.jpg,nodefect
RIMG2166_1szvoxql.w2m.jpg,nodefect
RIMG2154_f5mqytcj.sr0.jpg,nodefect
RIMG2145_33ymprxe.pd5.jpg,nodefect
RIMG2144_iswzjpjs.l23.jpg,nodefect
RIMG2155_u2x4y5os.tvf.jpg,nodefect
RIMG2145_3mqo5d21.p01.jpg,nodefect
RIMG2148_lesro5di.rhb.jpg,nodefect
RIMG2146_eeswsj4f.xjt.jpg,nodefect
RIMG2162_xhtymkc1.cuy.jpg,nodefect
OR-18049_2.JPG,scaling
RIMG1790_sa4xmulk.scr.jpg,scaling
RIMG7460_bn14eodi.v04.jpg,efflorescence
WA-9810B-09122016-FLD-DC-VIC-005-PC22-1_uy22k1wk.nz0.jpg,cracks
017_albmc1p1.o2x.jpg,cracks
005_5dxh00tq.c35.jpg,cracks
RIMG7329_eqpovpar.rjr.jpg,cracks
IMG_2030_hdnczirp.vwd.jpg,spalling
AZ-1842_2.JPG,spalling
